Product-ID,MAE,RMSE,Test_Weekly_Average_Sales,Test_Total_Sales
FOODS_3_030_TX_3_validation,12.32,15.16,23,641
FOODS_3_080_TX_3_validation,3.14,3.97,11,305
FOODS_3_090_TX_3_validation,25.61,29.35,64,1799
FOODS_3_202_TX_3_validation,8.39,9.94,32,892
FOODS_3_252_TX_3_validation,15.68,19.66,51,1440
FOODS_3_376_TX_3_validation,8.46,10.5,15,426
FOODS_3_377_TX_3_validation,8.07,10.27,42,1168
FOODS_3_541_TX_3_validation,10.36,11.4,7,190
FOODS_3_555_TX_3_validation,9.5,11.66,30,829
FOODS_3_586_TX_3_validation,13.96,16.25,73,2056
FOODS_3_587_TX_3_validation,9.68,11.55,23,636
FOODS_3_607_TX_3_validation,7.71,10.36,14,385
FOODS_3_635_TX_3_validation,14.04,17.86,7,188
FOODS_3_681_TX_3_validation,10.11,12.26,18,507
FOODS_3_694_TX_3_validation,6.46,7.42,25,687
FOODS_3_714_TX_3_validation,6.89,8.07,25,706
FOODS_3_723_TX_3_validation,6.36,8.02,17,484
FOODS_3_804_TX_3_validation,9.46,11.9,26,727
FOODS_3_808_TX_3_validation,12.36,13.75,6,162
FOODS_3_811_TX_3_validation,6.32,9.28,13,376
