Product-ID,MAE,RMSE,Test_Weekly_Average_Sales,Test_Total_Sales
FOODS_3_001_TX_3_validation,0.5,1.07,0,14
FOODS_3_002_TX_3_validation,1.61,2.23,2,52
FOODS_3_003_TX_3_validation,0.79,0.89,1,18
FOODS_3_004_TX_3_validation,0.29,0.71,0,8
FOODS_3_005_TX_3_validation,1.43,1.96,2,46
FOODS_3_006_TX_3_validation,0.82,0.94,1,19
FOODS_3_007_TX_3_validation,4.75,7.48,5,138
FOODS_3_008_TX_3_validation,5.04,7.41,7,192
FOODS_3_009_TX_3_validation,0.54,0.78,1,19
FOODS_3_010_TX_3_validation,0.96,1.02,0,9
FOODS_3_011_TX_3_validation,0.54,1.02,1,20
FOODS_3_012_TX_3_validation,0.5,1.0,1,15
FOODS_3_013_TX_3_validation,1.04,1.4,1,31
FOODS_3_014_TX_3_validation,1.11,1.4,1,21
FOODS_3_015_TX_3_validation,1.68,2.08,3,77
FOODS_3_016_TX_3_validation,0.79,0.96,1,22
FOODS_3_017_TX_3_validation,0.14,0.38,0,4
FOODS_3_018_TX_3_validation,0.61,0.82,1,25
FOODS_3_019_TX_3_validation,0.75,1.68,1,21
FOODS_3_020_TX_3_validation,2.54,3.12,3,78
FOODS_3_021_TX_3_validation,1.68,2.23,2,59
FOODS_3_022_TX_3_validation,0.5,0.89,0,14
FOODS_3_023_TX_3_validation,0.96,1.24,1,35
FOODS_3_024_TX_3_validation,3.14,4.86,4,113
FOODS_3_025_TX_3_validation,1.32,1.66,2,46
FOODS_3_026_TX_3_validation,0.89,1.15,1,25
FOODS_3_027_TX_3_validation,0.71,0.96,1,20
FOODS_3_028_TX_3_validation,1.36,1.46,0,6
FOODS_3_029_TX_3_validation,1.46,1.99,2,52
FOODS_3_030_TX_3_validation,12.32,15.16,23,641
FOODS_3_031_TX_3_validation,0.04,0.19,0,1
FOODS_3_032_TX_3_validation,0.89,0.98,0,8
FOODS_3_033_TX_3_validation,0.32,0.63,0,9
FOODS_3_034_TX_3_validation,0.86,1.16,0,12
FOODS_3_035_TX_3_validation,0.79,1.04,1,21
FOODS_3_036_TX_3_validation,0.39,0.68,0,11
FOODS_3_037_TX_3_validation,1.04,1.12,0,9
FOODS_3_038_TX_3_validation,0.11,0.42,0,3
FOODS_3_039_TX_3_validation,2.07,2.63,4,98
FOODS_3_040_TX_3_validation,0.07,0.27,0,2
FOODS_3_041_TX_3_validation,2.32,2.56,0,14
FOODS_3_042_TX_3_validation,2.18,2.87,5,131
FOODS_3_043_TX_3_validation,0.07,0.27,0,2
FOODS_3_044_TX_3_validation,0.82,0.91,0,13
FOODS_3_045_TX_3_validation,0.21,0.46,0,6
FOODS_3_046_TX_3_validation,0.07,0.27,0,2
FOODS_3_047_TX_3_validation,1.96,2.32,2,67
FOODS_3_048_TX_3_validation,1.71,1.87,1,15
FOODS_3_049_TX_3_validation,0.96,0.98,0,3
FOODS_3_050_TX_3_validation,0.21,0.46,0,2
FOODS_3_051_TX_3_validation,1.14,1.34,1,35
FOODS_3_053_TX_3_validation,0.79,0.93,1,18
FOODS_3_054_TX_3_validation,1.54,2.32,2,54
FOODS_3_055_TX_3_validation,0.75,0.91,1,17
FOODS_3_056_TX_3_validation,0.32,0.78,0,9
FOODS_3_057_TX_3_validation,0.43,0.8,0,12
FOODS_3_058_TX_3_validation,1.0,1.2,1,27
FOODS_3_059_TX_3_validation,1.89,2.04,0,4
FOODS_3_060_TX_3_validation,1.21,1.49,2,52
FOODS_3_061_TX_3_validation,0.39,0.63,0,11
FOODS_3_062_TX_3_validation,0.07,0.27,0,2
FOODS_3_063_TX_3_validation,0.86,1.13,1,21
FOODS_3_064_TX_3_validation,4.89,7.17,6,173
FOODS_3_065_TX_3_validation,0.71,1.07,1,15
FOODS_3_066_TX_3_validation,1.89,2.26,4,102
FOODS_3_067_TX_3_validation,0.89,1.35,1,38
FOODS_3_068_TX_3_validation,0.07,0.27,0,2
