Product-ID,MAE,RMSE,Test_Weekly_Average_Sales,Test_Total_Sales
FOODS_3_779_TX_3_validation,0.04,0.19,0,1
FOODS_3_260_TX_3_validation,0.04,0.19,0,1
FOODS_3_542_TX_3_validation,0.04,0.19,0,1
FOODS_3_315_TX_3_validation,0.04,0.19,0,1
FOODS_3_796_TX_3_validation,0.04,0.19,0,1
FOODS_3_597_TX_3_validation,0.04,0.19,0,1
FOODS_3_031_TX_3_validation,0.04,0.19,0,1
FOODS_3_817_TX_3_validation,0.04,0.19,0,1
FOODS_3_793_TX_3_validation,0.04,0.19,0,1
FOODS_3_171_TX_3_validation,0.04,0.19,0,1
FOODS_3_539_TX_3_validation,0.04,0.19,0,1
FOODS_3_736_TX_3_validation,0.04,0.19,0,1
FOODS_3_220_TX_3_validation,0.04,0.19,0,1
FOODS_3_718_TX_3_validation,0.04,0.19,0,1
FOODS_3_713_TX_3_validation,0.04,0.19,0,1
FOODS_3_758_TX_3_validation,0.04,0.19,0,1
FOODS_3_553_TX_3_validation,0.04,0.19,0,1
FOODS_3_328_TX_3_validation,0.04,0.19,0,1
FOODS_3_270_TX_3_validation,0.07,0.27,0,2
FOODS_3_408_TX_3_validation,0.07,0.27,0,2
FOODS_3_522_TX_3_validation,0.07,0.27,0,2
FOODS_3_316_TX_3_validation,0.07,0.27,0,2
FOODS_3_068_TX_3_validation,0.07,0.27,0,2
FOODS_3_062_TX_3_validation,0.07,0.27,0,2
FOODS_3_784_TX_3_validation,0.07,0.27,0,2
FOODS_3_612_TX_3_validation,0.07,0.27,0,2
FOODS_3_046_TX_3_validation,0.07,0.27,0,2
FOODS_3_771_TX_3_validation,0.07,0.27,0,2
FOODS_3_043_TX_3_validation,0.07,0.27,0,2
FOODS_3_040_TX_3_validation,0.07,0.27,0,2
FOODS_3_343_TX_3_validation,0.07,0.27,0,2
FOODS_3_175_TX_3_validation,0.07,0.27,0,2
FOODS_3_235_TX_3_validation,0.07,0.27,0,2
FOODS_3_579_TX_3_validation,0.07,0.27,0,2
FOODS_3_680_TX_3_validation,0.07,0.27,0,2
FOODS_3_358_TX_3_validation,0.07,0.27,0,2
FOODS_3_517_TX_3_validation,0.07,0.27,0,2
FOODS_3_256_TX_3_validation,0.11,0.33,0,3
FOODS_3_543_TX_3_validation,0.11,0.33,0,3
FOODS_3_799_TX_3_validation,0.11,0.33,0,3
FOODS_3_601_TX_3_validation,0.11,0.33,0,3
FOODS_3_710_TX_3_validation,0.11,0.33,0,3
FOODS_3_766_TX_3_validation,0.11,0.33,0,3
FOODS_3_705_TX_3_validation,0.11,0.33,0,3
FOODS_3_298_TX_3_validation,0.11,0.33,0,3
FOODS_3_312_TX_3_validation,0.11,0.33,0,3
FOODS_3_623_TX_3_validation,0.11,0.33,0,3
FOODS_3_824_TX_3_validation,0.11,0.33,0,3
FOODS_3_637_TX_3_validation,0.11,0.33,0,3
FOODS_3_613_TX_3_validation,0.07,0.38,0,2
FOODS_3_649_TX_3_validation,0.14,0.38,0,4
FOODS_3_737_TX_3_validation,0.14,0.38,0,4
FOODS_3_810_TX_3_validation,0.14,0.38,0,4
FOODS_3_162_TX_3_validation,0.14,0.38,0,4
FOODS_3_017_TX_3_validation,0.14,0.38,0,4
FOODS_3_453_TX_3_validation,0.14,0.38,0,4
FOODS_3_180_TX_3_validation,0.14,0.38,0,4
FOODS_3_507_TX_3_validation,0.07,0.38,0,2
FOODS_3_279_TX_3_validation,0.14,0.38,0,4
FOODS_3_440_TX_3_validation,0.14,0.38,0,4
FOODS_3_357_TX_3_validation,0.14,0.38,0,4
FOODS_3_189_TX_3_validation,0.11,0.42,0,3
FOODS_3_762_TX_3_validation,0.18,0.42,0,5
FOODS_3_421_TX_3_validation,0.18,0.42,0,5
FOODS_3_556_TX_3_validation,0.18,0.42,0,5
FOODS_3_691_TX_3_validation,0.18,0.42,0,5
FOODS_3_244_TX_3_validation,0.11,0.42,0,3
FOODS_3_038_TX_3_validation,0.11,0.42,0,3
FOODS_3_633_TX_3_validation,0.18,0.42,0,5
FOODS_3_512_TX_3_validation,0.18,0.42,0,5
FOODS_3_798_TX_3_validation,0.18,0.42,0,5
FOODS_3_289_TX_3_validation,0.18,0.42,0,5
FOODS_3_619_TX_3_validation,0.11,0.42,0,3
FOODS_3_350_TX_3_validation,0.11,0.42,0,3
FOODS_3_325_TX_3_validation,0.14,0.46,0,4
FOODS_3_223_TX_3_validation,0.14,0.46,0,4
FOODS_3_314_TX_3_validation,0.14,0.46,0,4
